run,pop,Herbicide,Dose,rep,ve,surv,bio,ve_red,bio_red,selected
1,A13,Glyphosate,3x,1,4,0,0.5177,0.6,0.790086163,
1,A13,Glyphosate,3x,2,7,1,1.1618,0.3,0.528920426,
1,A13,Glyphosate,3x,3,6,1,0.655,0.4,0.734414597,
1,A13,Glyphosate,3x,4,1,0,0,0.9,1,
1,A13,Glyphosate,3x,5,8,1,1.7568,0.2,0.287663457,
1,A13,Glyphosate,3x,6,7,1,1.5714,0.3,0.362838317,
1,A13,Glyphosate,3x,7,9,1,2.7037,0.1,1.00E-10,
1,A13,Glyphosate,3x,8,8,1,1.8744,0.2,0.239979726,
1,A14,Glyphosate,1x,1,9,1,2.9776,0.1,0.100721815,
1,A14,Glyphosate,1x,2,4,0,0.2383,0.6,0.92802996,
1,A14,Glyphosate,1x,3,8,1,1.4758,0.2,0.554287095,
1,A14,Glyphosate,1x,4,9,1,4.4698,0.1,1.00E-10,
1,A14,Glyphosate,1x,5,6,1,0.3896,0.4,0.882335176,
1,A14,Glyphosate,1x,6,9,1,3.2726,0.1,0.011627556,
1,A14,Glyphosate,1x,7,4,0,0.1865,0.6,0.943674308,
1,A14,Glyphosate,1x,8,7,1,1.0624,0.3,0.679139863,
1,A14,Glyphosate,3x,1,8,1,1.3471,0.2,0.593156353,
1,A14,Glyphosate,3x,2,5,1,0.3334,0.5,0.899308387,
1,A14,Glyphosate,3x,3,8,1,1.7832,0.2,0.461447857,
1,A14,Glyphosate,3x,4,1,0,0,0.9,1,
1,A14,Glyphosate,3x,5,8,1,2.2638,0.2,0.316299719,
1,A14,Glyphosate,3x,6,4,0,0.3424,0.6,0.896590257,
1,A14,Glyphosate,3x,7,8,1,1.6547,0.2,0.500256712,
1,A14,Glyphosate,3x,8,1,0,0,0.9,1,
1,A15,Glyphosate,1x,1,8,1,1.9909,0.2,0.050199773,x
1,A15,Glyphosate,1x,2,9,1,1.6055,0.1,0.234062854,x
1,A15,Glyphosate,1x,3,9,1,1.9328,0.1,0.077917586,x
1,A15,Glyphosate,1x,4,9,1,2.317,0.1,1.00E-10,x
1,A15,Glyphosate,1x,5,8,1,1.9188,0.2,0.084596577,x
1,A15,Glyphosate,1x,6,8,1,1.0929,0.2,0.478609339,x
1,A15,Glyphosate,1x,7,9,1,1.9509,0.1,0.069282605,x
1,A15,Glyphosate,1x,8,9,1,1.4381,0.1,0.313924504,x
1,A15,Glyphosate,3x,1,7,1,2.4268,0.3,1.00E-10,x
1,A15,Glyphosate,3x,2,8,1,2.5292,0.2,1.00E-10,x
1,A15,Glyphosate,3x,3,8,1,2.636,0.2,1.00E-10,x
1,A15,Glyphosate,3x,4,8,1,2.5595,0.2,1.00E-10,x
1,A15,Glyphosate,3x,5,7,1,0.8564,0.3,0.591436579,x
1,A15,Glyphosate,3x,6,2,0,0.115,0.8,0.94513686,x
1,A15,Glyphosate,3x,7,8,1,2.2666,0.2,1.00E-10,x
1,A15,Glyphosate,3x,8,8,1,2.0273,0.2,0.032834397,x
1,A16,Glyphosate,1x,1,9,1,2.3879,0.1,0.301022312,
1,A16,Glyphosate,1x,2,9,1,2.081,0.1,0.390857001,
1,A16,Glyphosate,1x,3,9,1,2.5333,0.1,0.258461336,
1,A16,Glyphosate,1x,4,9,1,,0.1,,
1,A16,Glyphosate,1x,5,9,1,2.4258,0.1,0.289928358,
1,A16,Glyphosate,1x,6,9,1,1.6968,0.1,0.503318673,
1,A16,Glyphosate,1x,7,9,1,3.0141,0.1,0.117723251,
1,A16,Glyphosate,1x,8,9,1,2.7435,0.1,0.196932331,
1,A16,Glyphosate,3x,1,7,1,1.2801,0.3,0.625293631,
1,A16,Glyphosate,3x,2,9,1,2.5493,0.1,0.253777872,
1,A16,Glyphosate,3x,3,5,1,0.5692,0.5,0.833385778,
1,A16,Glyphosate,3x,4,3,0,0.2011,0.7,0.941134715,
1,A16,Glyphosate,3x,5,8,1,1.5803,0.2,0.537420143,
1,A16,Glyphosate,3x,6,8,1,1.6047,0.2,0.530277861,
1,A16,Glyphosate,3x,7,8,1,1.3876,0.2,0.593826609,
1,A16,Glyphosate,3x,8,8,1,2.672,0.2,0.21786156,
1,A17,Glyphosate,1x,1,9,1,2.4143,0.1,0.03547601,x
1,A17,Glyphosate,1x,2,9,1,1.6404,0.1,0.344652631,x
1,A17,Glyphosate,1x,3,9,1,2.0248,0.1,0.191083057,x
1,A17,Glyphosate,1x,4,9,1,1.559,0.1,0.377172306,x
1,A17,Glyphosate,1x,5,9,1,2.0911,0.1,0.164595901,x
1,A17,Glyphosate,1x,6,9,1,1.0757,0.1,0.570252886,x
1,A17,Glyphosate,1x,7,9,1,1.8263,0.1,0.270384723,x
1,A17,Glyphosate,1x,8,9,1,2.1001,0.1,0.16100036,x
1,A17,Glyphosate,3x,1,8,1,1.5894,0.2,0.365027366,x
1,A17,Glyphosate,3x,2,8,1,2.0251,0.2,0.190963206,x
1,A17,Glyphosate,3x,3,8,1,1.8849,0.2,0.246973753,x
1,A17,Glyphosate,3x,4,6,1,0.7871,0.4,0.685549918,x
1,A17,Glyphosate,3x,5,8,1,1.3088,0.2,0.477128361,x
1,A17,Glyphosate,3x,6,8,1,1.4608,0.2,0.41640366,x
1,A17,Glyphosate,3x,7,7,1,0.7768,0.3,0.689664816,x
1,A17,Glyphosate,3x,8,9,1,3.3568,0.1,1.00E-10,x
1,A18,Glyphosate,1x,1,9,1,2.7223,0.1,1.00E-10,x
1,A18,Glyphosate,1x,2,9,1,4.2038,0.1,1.00E-10,x
1,A18,Glyphosate,1x,3,9,1,3.6394,0.1,1.00E-10,x
1,A18,Glyphosate,1x,4,9,1,3.696,0.1,1.00E-10,x
1,A18,Glyphosate,1x,5,9,1,3.3981,0.1,1.00E-10,x
1,A18,Glyphosate,1x,6,9,1,3.9564,0.1,1.00E-10,x
1,A18,Glyphosate,1x,7,9,1,2.9398,0.1,1.00E-10,x
1,A18,Glyphosate,1x,8,9,1,2.9877,0.1,1.00E-10,x
1,A18,Glyphosate,3x,1,8,1,3.4185,0.2,1.00E-10,x
1,A18,Glyphosate,3x,2,9,1,2.5209,0.1,0.072985521,x
1,A18,Glyphosate,3x,3,7,1,1.2409,0.3,0.543681912,x
1,A18,Glyphosate,3x,4,9,1,3.5215,0.1,1.00E-10,x
1,A18,Glyphosate,3x,5,8,1,2.2479,0.2,0.173376235,x
1,A18,Glyphosate,3x,6,9,1,3.2006,0.1,1.00E-10,x
1,A18,Glyphosate,3x,7,8,1,1.8664,0.2,0.313665824,x
1,A18,Glyphosate,3x,8,9,1,3.1382,0.1,1.00E-10,x
1,A19,Glyphosate,1x,1,8,1,1.4318,0.2,0.430276744,
1,A19,Glyphosate,1x,2,8,1,2.4494,0.2,0.025366572,
1,A19,Glyphosate,1x,3,7,1,0.0394,0.3,0.984322464,
1,A19,Glyphosate,1x,4,9,1,2.0692,0.1,0.176650817,
1,A19,Glyphosate,1x,5,5,1,0.1692,0.5,0.932674134,
1,A19,Glyphosate,1x,6,9,1,2.0124,0.1,0.199251935,
1,A19,Glyphosate,1x,7,9,1,2.0471,0.1,0.185444562,
1,A19,Glyphosate,1x,8,7,1,0.602,0.3,0.760459981,
1,A19,Glyphosate,3x,1,6,1,0.4955,0.4,0.802837077,
1,A19,Glyphosate,3x,2,7,1,1.2529,0.3,0.501462308,
1,A19,Glyphosate,3x,3,2,0,0.0953,0.8,0.962079462,
1,A19,Glyphosate,3x,4,7,1,1.45,0.3,0.423034837,
1,A19,Glyphosate,3x,5,1,0,0,0.9,1,
1,A19,Glyphosate,3x,6,1,0,0,0.9,1,
1,A19,Glyphosate,3x,7,1,0,0,0.9,1,
1,A19,Glyphosate,3x,8,7,1,2.5372,0.3,1.00E-10,
1,A20,Glyphosate,1x,1,1,0,0,0.9,1,x
1,A20,Glyphosate,1x,2,1,0,0,0.9,1,x
1,A20,Glyphosate,1x,3,2,0,0.1307,0.8,0.950722944,x
1,A20,Glyphosate,1x,4,2,0,0.1185,0.8,0.955322638,x
1,A20,Glyphosate,1x,5,2,0,0.1384,0.8,0.947819858,x
1,A20,Glyphosate,1x,6,5,1,0.3106,0.5,0.8828963,x
1,A20,Glyphosate,1x,7,1,0,0,0.9,1,x
1,A20,Glyphosate,1x,8,3,0,0.0948,0.7,0.964258111,x
1,A20,Glyphosate,3x,1,1,0,0,0.9,1,x
1,A20,Glyphosate,3x,2,1,0,0,0.9,1,x
1,A20,Glyphosate,3x,3,1,0,0,0.9,1,x
1,A20,Glyphosate,3x,4,2,0,0.1183,0.8,0.955398043,x
1,A20,Glyphosate,3x,5,1,0,0,0.9,1,x
1,A20,Glyphosate,3x,6,1,0,0,0.9,1,x
1,A20,Glyphosate,3x,7,1,0,0,0.9,1,x
1,A20,Glyphosate,3x,8,7,1,2.2413,0.3,0.154975776,x
1,A21,Glyphosate,1x,1,9,1,2.6046,0.1,0.028687034,
1,A21,Glyphosate,1x,2,6,1,0.3839,0.4,0.856835196,
1,A21,Glyphosate,1x,3,9,1,3.0527,0.1,1.00E-10,
1,A21,Glyphosate,1x,4,9,1,2.4535,0.1,0.085035567,
1,A21,Glyphosate,1x,5,3,0,0.1078,0.7,0.959798995,
1,A21,Glyphosate,1x,6,9,1,2.5424,0.1,0.051882791,
1,A21,Glyphosate,1x,7,9,1,3.0362,0.1,1.00E-10,
1,A21,Glyphosate,1x,8,6,1,0.5577,0.4,0.792021331,
1,A21,Glyphosate,3x,1,8,1,2.7758,0.2,1.00E-10,
1,A21,Glyphosate,3x,2,7,1,0.9949,0.3,0.628979778,
1,A21,Glyphosate,3x,3,1,0,0,0.9,1,
1,A21,Glyphosate,3x,4,8,1,2.0035,0.2,0.252850524,
1,A21,Glyphosate,3x,5,8,1,0.9725,0.2,0.637333234,
1,A21,Glyphosate,3x,6,7,1,1.4628,0.3,0.454489516,
1,A21,Glyphosate,3x,7,3,0,0.1583,0.7,0.940966428,
1,A21,Glyphosate,3x,8,7,1,1.4675,0.3,0.452736782,
1,A22,Glyphosate,1x,1,9,1,2.6305,0.1,0.097505747,x
1,A22,Glyphosate,1x,2,9,1,2.9124,0.1,0.000789104,x
1,A22,Glyphosate,1x,3,9,1,2.365,0.1,0.188595739,x
1,A22,Glyphosate,1x,4,9,1,2.7718,0.1,0.049027344,x
1,A22,Glyphosate,1x,5,9,1,3.6244,0.1,1.00E-10,x
1,A22,Glyphosate,1x,6,9,1,2.5945,0.1,0.109856932,x
1,A22,Glyphosate,1x,7,9,1,1.8264,0.1,0.373383196,x
1,A22,Glyphosate,1x,8,9,1,1.4614,0.1,0.498610492,x
1,A22,Glyphosate,3x,1,6,1,1.0758,0.4,0.630905411,x
1,A22,Glyphosate,3x,2,6,1,0.2537,0.4,0.912958452,x
1,A22,Glyphosate,3x,3,8,1,3.648,0.2,1.00E-10,x
1,A22,Glyphosate,3x,4,8,1,2.4531,0.2,0.158369644,x
1,A22,Glyphosate,3x,5,8,1,1.4963,0.2,0.486636704,x
1,A22,Glyphosate,3x,6,7,1,0.7287,0.3,0.749991423,x
1,A22,Glyphosate,3x,7,3,0,0.2312,0.7,0.920677943,x
1,A22,Glyphosate,3x,8,4,0,0.1756,0.6,0.939753663,x
1,A23,Glyphosate,1x,1,8,1,1.9301,0.2,0.279867174,x
1,A23,Glyphosate,1x,2,9,1,2.9645,0.1,1.00E-10,x
1,A23,Glyphosate,1x,3,8,1,,0.2,,x
1,A23,Glyphosate,1x,4,2,0,0.1885,0.8,0.929669428,x
1,A23,Glyphosate,1x,5,9,1,1.9192,0.1,0.283934035,x
1,A23,Glyphosate,1x,6,8,1,1.8253,0.2,0.318968734,x
1,A23,Glyphosate,1x,7,9,1,2.185,0.1,0.184762331,x
1,A23,Glyphosate,1x,8,9,1,2.3421,0.1,0.126147302,x
1,A23,Glyphosate,3x,1,5,1,0.3564,0.5,0.867024849,x
1,A23,Glyphosate,3x,2,9,1,2.342,0.1,0.126184613,x
1,A23,Glyphosate,3x,3,8,1,1.0277,0.2,0.616558466,x
1,A23,Glyphosate,3x,4,4,0,0.1833,0.6,0.931609581,x
1,A23,Glyphosate,3x,5,7,1,1.6993,0.3,0.365980151,x
1,A23,Glyphosate,3x,6,9,1,2.8976,0.1,1.00E-10,x
1,A23,Glyphosate,3x,7,9,1,2.7584,0.1,1.00E-10,x
1,A23,Glyphosate,3x,8,7,1,0.7522,0.3,0.719349302,x
1,A24,Glyphosate,1x,1,9,1,2.7441,0.1,0.115291614,
1,A24,Glyphosate,1x,2,9,1,3.2018,0.1,1.00E-10,
1,A24,Glyphosate,1x,3,9,1,3.847,0.1,1.00E-10,
1,A24,Glyphosate,1x,4,5,1,0.3771,0.5,0.878421511,
1,A24,Glyphosate,1x,5,1,0,0,0.9,1,
1,A24,Glyphosate,1x,6,1,0,0,0.9,1,
1,A24,Glyphosate,1x,7,3,0,0.1871,0.7,0.939678241,
1,A24,Glyphosate,1x,8,8,1,1.1859,0.2,0.617661283,
1,A24,Glyphosate,3x,1,5,1,0.4035,0.5,0.869910049,
1,A24,Glyphosate,3x,2,3,0,0.0916,0.7,0.970467808,
1,A24,Glyphosate,3x,3,8,1,2.3014,0.2,0.258019796,
1,A24,Glyphosate,3x,4,4,0,0.2485,0.6,0.919882645,
1,A24,Glyphosate,3x,5,3,0,0.0845,0.7,0.972756875,
1,A24,Glyphosate,3x,6,8,1,2.2359,0.2,0.279137247,
1,A24,Glyphosate,3x,7,1,0,0,0.9,1,
1,A24,Glyphosate,3x,8,7,1,0.6677,0.3,0.784730954,
1,A25,Glyphosate,1x,1,1,0,0,0.9,1,
1,A25,Glyphosate,1x,2,9,1,3.7417,0.1,1.00E-10,
1,A25,Glyphosate,1x,3,9,1,1.7123,0.1,0.47141038,
1,A25,Glyphosate,1x,4,8,1,0.9662,0.2,0.701732587,
1,A25,Glyphosate,1x,5,8,1,1.1496,0.2,0.645116728,
1,A25,Glyphosate,1x,6,2,0,0.122,0.8,0.962338414,
1,A25,Glyphosate,1x,7,9,1,3.5161,0.1,1.00E-10,
